point,lat,lon,tipo
ARPAR,-10.515,-59.28633333,ICAO
ARPEP,-30.4529,-51.915613889,ICAO
ARPET,-16.672563889,-49.132269444,ICAO
ARPEV,-19.832332286,-39.729504891,ICAO
ARPOK,-24.967922222,-49.676808333,ICAO
ARPON,-15.110555556,-46.643555556,ICAO
ARPOP,-9.297305556,-55.141927778,ICAO
ARPUM,-19.40055,-43.695716667,ICAO
ARSAG,-30.719169444,-51.647275,ICAO
ARSAL,-2.623888889,-44.402947222,ICAO
ARSAX,-21.655927721,-46.377342865,ICAO
ARSIR,-18.961044444,-42.050513889,ICAO
ARSIT,-27.743786111,-49.647197222,ICAO
ARSIV,-8.376325,-52.250805556,ICAO
ARSOP,-15.847205556,-48.012527778,TERMINAL
ARSOS,-3.138680556,-60.228683333,ICAO
ARSOV,-23.462838889,-43.929766667,ICAO
ARTEG,-17.46835,-48.690941667,ICAO
ARTIG,-1.743597222,-35.461305556,ICAO
ARTIK,-7.6255,-68.5665,ICAO
ARTIL,-28.813922222,-50.938916667,ICAO
ARTUG,-3.246458861,-59.974871111,ICAO
ARTUT,-25.628475,-48.104641667,ICAO
ARU01,-10.985019444,-37.114213889,TERMINAL
ARU02,-10.982177778,-37.080388889,TERMINAL
ARU03,-10.982797222,-37.060236111,TERMINAL
ARU08,-10.986177778,-37.128030556,DESIGNED
ARUBI,-17.15933333,-41.46683333,ICAO
ARUDA,-22.420875,-41.812380556,ICAO
ARUDI,-18.683122222,-42.586125,ICAO
ARUKA,-8.453966667,-39.02045,ICAO
ARUKO,-3.765666667,-69.851,ICAO
ARUKU,-22.146969444,-51.639983333,ICAO
ARULA,-28.72833333,-56.14283333,ICAO
ARUNU,-0.5725,-27.328,ICAO
ARURU,-11.941777778,-37.692277778,ICAO
ARUSA,-19.664188889,-51.649702778,ICAO
ARUSI,6.416666667,-37.33333333,ICAO
ARUVO,-13.092111111,-45.663983333,ICAO
ARUXA,-3.482333333,-69.795,ICAO
ARVAT,-12.236836111,-38.308669444,ICAO
ARVER,-15.866790167,-47.725570778,ICAO
ARVEV,-22.894722222,-40.201666667,ICAO
ARVIB,-4.426666667,-47.720833333,ICAO
ARVIR,-20.328666667,-40.311666667,ICAO
ARVIS,-25.837891667,-49.079394444,ICAO
ARVIX,1.0355,-63.5155,ICAO
ARVOP,-22.242312639,-56.631058556,ICAO
ARVOR,-10.350722222,-36.310969444,ICAO
ARVOS,-2.468852778,-44.124227778,ICAO
ARVOT,2.211166667,-62.38016667,ICAO
ARVUM,0.645033333,-60.45685,ICAO
ARVUS,-30.539230556,-51.527238889,ICAO
ASALU,-22.999555556,-43.62575,ICAO
ASANU,-3.829666667,-21.1725,ICAO
ASAPA,-3.021,-69.714333333,ICAO
ASASI,-19.768557712,-43.902142066,ICAO
ASAXU,-15.766205556,-48.825555556,ICAO
ASBAK,-22.803577778,-47.212905556,ICAO
ASBAL,-21.818791667,-47.320372222,ICAO
ASBED,-12.622402778,-54.719822222,ICAO
ASBIG,-9.450589434,-40.477641667,ICAO
ASBIT,-19.919858333,-43.333013889,ICAO
ASBIV,-12.142744444,-58.115677778,ICAO
ASBOD,-8.492527778,-35.425263889,ICAO
ASBOS,-8.531272222,-63.912902778,ICAO
ASBOT,-1.996958333,-47.54425,ICAO
ASBOV,-28.833302778,-50.913336111,ICAO
ASBUP,-21.849233864,-45.839007207,ICAO
ASBUS,-27.510319444,-48.437708333,ICAO
ASBUV,-26.327816667,-48.654363889,ICAO
ASDAP,-25.023172222,-50.172713889,ICAO
ASDAS,-18.829036111,-45.792338889,ICAO
ASDEK,-28.601997222,-51.330036111,ICAO
ASDEN,-19.984666667,-43.845333333,ICAO
ASDIL,-15.847663889,-47.814091667,ICAO
ASDOB,-1.799297222,-60.190211111,ICAO
ASDOK,-1.613666667,-22.44033333,ICAO
ASDOV,-20.1124,-50.282691667,ICAO
ASDUT,-12.970711111,-38.121425,TERMINAL
ASEGI,-23.281386111,-46.620416667,ICAO
ASEGU,-5.462080556,-37.152338889,ICAO
ASELU,-9.859002778,-47.861169444,ICAO
ASEPO,-20.848555556,-52.849311111,ICAO
ASERI,-3.119388889,-58.481222222,ICAO
ASETA,-23.285666667,-48.095666667,ICAO
ASETU,-22.998211111,-45.410194444,ICAO
