icao,name,longitude,latitude,elevation
SDGN,Empresarial Pontes Corporate Center Heliport,-34.904154,-8.131765,289
SDGO,Braspress Heliport,-46.485454,-23.454179,2543
SDGS,Bertolucci Helipad,-46.680352,-23.585877,2657
SDGW,JKFC Heliport,-46.675053,-23.587232,2644
SDGY,Fazenda Anhangaí Airport,-50.743803,-20.926714,1181
SDGZ,Bradesco Cidade de Deus Heliport,-46.772364,-23.549455,2529
SDHA,HELPN HASP Heliport,-46.644232,-23.51311,2379
SDHB,Bradesco Heliport,-46.769035,-23.548456,2474
SDHC,Fazenda Koga Airport,-49.981367,-21.86889,1293
SDHD,Complexo Hospitalar de Niterói Helipad,-43.115758,-22.894482,187
SDHE,Fazenda Herdade Airport,-46.843409,-22.492182,2428
SDHF,Ambroso Heliport,-46.752256,-21.966594,2654
SDHG,Málaga Heliport,-46.778046,-23.481607,2526
SDHI,Hospital Gastroclínica Helipad,-46.65245,-23.59524,2562
SDHJ,Hospital da Polícia Militar Heliport,-46.619453,-23.470232,2612
SDHL,Lagoa Heliport,-43.216484,-22.974815,10
SDHN,REC Berrini TNU  Heliport,-46.696706,-23.608035,2674
SDHO,Bradesco - Santo André Heliport,-46.52876,-23.65549,2523
SDHP,Modelo II Airport,-53.283775,-21.162035,1168
SDHQ,Shopping Leste Aricanduva Heliport,-46.505515,-23.567154,2434
SDHR,Fazenda União Airport,-57.230247,-20.904766,476
SDHT,Cetenco Plaza - Torre Norte Heliport,-46.657607,-23.558919,2943
SDHU,Morro da Urca Heliport,-43.165548,-22.951287,692
SDHV,Hospital Albert Einstein Helipad,-46.715164,-23.600441,2772
SDHW,Hospital Bandeirantes Helipad,-46.634788,-23.557583,2598
SDHX,D'Tapes Airport,-51.53543,-30.75022,131
SDHY,Edifício São Gonzaga Heliport,-46.661172,-23.5567,3002
SDHZ,Hospital Vera Cruz Heliport,-47.067842,-22.904511,2405
SDIB,Irmãos Ribeiro Airport,-46.775299,-22.1581,3035
SDIC,Fazenda Capão Seco Airport,-45.689798,-20.712823,2657
SDIF,Palácio Tiradentes Helipad,-43.951581,-19.786498,2746
SDIG,Ibitinga Airport,-48.855595,-21.74723,1778
SDIH,Fazenda Irohy Airport,-46.071598,-23.563384,2467
SDII,I Tower Helipad,-46.849201,-23.504785,2890
SDIK,Alpha Business Empresarial Helipad,-47.035294,-22.819578,2043
SDIL,Fazenda Pedra Branca Airport,-44.28802,-22.902362,52
SDIM,Itanhaém Airport,-46.790604,-24.159729,13
